ID,Treatment,Status,Day,Week,Time,Initial Mass,Mat_Mass,Egg_Number,Repro,Sex.sum,Sex.sum.SE,Survival,Survival.SE,Survival.sum,Survival.sum.SE,RegLength,Regeneration,Incubation,Incubation.SE,Mass,Relative.Mass,Rel.Egg.Mass,Rel.Init.Mass,Mass.SE,Sex,Sex.SE,SVL,SVL.SE,SVL.sum,SVL.sum.SE,Mass.sum,Mass.sum.SE,Egg_Mass,Egg_Mass.SE,Investment,Investment.SE,Egg_Mass.sum,Egg_Mass.sum.SE,Mat_SVL,Perc.WL,Age.Pred
F0001/3,Autotomy,Recovered,56,8,6-8,2.2,2,0,0,NA,NA,NA,NA,NA,NA,29.98,1.58,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,43.8,,1
F0002,Autotomy,Recovered,56,8,6-8,2.5,1.9,0,0,NA,NA,NA,NA,NA,NA,31.59,5.49,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,42.4,,1
F0020,Autotomy,Recovered,56,8,6-8,1.7,2.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,39,,1
F0151/3,Autotomy,Recovered,56,8,6-8,1.9,NA,0,0,NA,NA,NA,NA,NA,NA,26.9,1.2,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,
F0300,Autotomy,Recovered,56,8,6-8,2.4,NA,1,1,0,NA,0.5,0.5,1,0.5,32.84,2.04,33,NA,0.144,#VALUE!,#VALUE!,6,NA,0,NA,18.09,NA,18.09,NA,0.144,NA,0.134,NA,0.134,NA,0.134,NA,NA,,
F0502,Autotomy,Recovered,56,8,6-8,2.1,NA,1,1,0,NA,0.5,0.5,1,0.5,24.64,3.44,39,NA,0.154,#VALUE!,#VALUE!,7.333333333,NA,0,NA,18.45,NA,18.45,NA,0.154,NA,0.166,NA,0.166,NA,0.166,NA,NA,,
F1/2/5105,Autotomy,Recovered,56,8,6-8,2.2,NA,0,0,NA,NA,NA,NA,NA,NA,23.52,1.62,39,NA,0.201,#VALUE!,#VALUE!,9.136363636,NA,1,NA,19.29,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,
F1/201/21/2/3,Autotomy,Recovered,56,8,6-8,2.1,2.2,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,#VALUE!,0.093636364,NA,NA,NA,NA,NA,NA,19.29,NA,0.201,NA,0.206,NA,0.206,NA,0.206,NA,42.4,,1
F1000,Autotomy,Recovered,56,8,6-8,2,1.9,0,0,NA,NA,NA,NA,NA,NA,31.3,2.8,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,45.9,,1
F1151/3,Autotomy,Recovered,56,8,6-8,2,1.8,0,0,NA,NA,NA,NA,NA,NA,28.28,2.08,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,44.5,,1
F3030,Autotomy,Recovered,56,8,6-8,1.8,NA,1,1,0,NA,0.5,0.5,1,0.5,16.84,1.54,39,NA,0.151,#VALUE!,#VALUE!,8.388888889,NA,0,NA,18.24,NA,18.24,NA,0.151,NA,0.168,NA,0.168,NA,0.168,NA,NA,,
F3131,Autotomy,Recovered,56,8,6-8,2,1.8,1,1,0,NA,0.5,0.5,1,0.5,26.56,1.96,41,NA,0.14,0.077777778,0.088888889,7,NA,0,NA,20.01,NA,20.01,NA,0.14,NA,0.16,NA,0.16,NA,0.16,NA,44.5,,1
F3453,Autotomy,Recovered,56,8,6-8,1.4,NA,1,1,0,NA,1,NA,1,NA,30.53,1.13,42,NA,0.207,#VALUE!,#VALUE!,14.78571429,NA,0,NA,19.26,NA,19.26,NA,0.207,NA,0.156,NA,0.156,NA,0.156,NA,NA,,
F4100,Autotomy,Recovered,56,8,6-8,2.1,2.2,0,0,NA,NA,NA,NA,NA,NA,32.11,0.61,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,29.41,,1
F5301,Autotomy,Recovered,56,8,6-8,1.7,2,0,0,NA,NA,NA,NA,NA,NA,29.6,3.5,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,47.2,,2
F0005,Control,Recovered,56,8,6-8,2.2,2.1,1,1,1,NA,0.5,0.5,1,0.5,NA,NA,41,NA,0.153,0.072857143,0.080952381,6.954545455,NA,1,NA,19.39,NA,19.39,NA,0.153,NA,0.17,NA,0.17,NA,0.17,NA,44.1,,1
F0010,Control,Recovered,56,8,6-8,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,42.3,,1
F0050,Control,Recovered,56,8,6-8,2.2,NA,1,1,0,NA,1,NA,1,NA,NA,NA,45,NA,0.173,#VALUE!,#VALUE!,7.863636364,NA,0,NA,18.33,NA,18.33,NA,0.173,NA,0.152,NA,0.152,NA,0.152,NA,NA,,
F0221/3,Control,Recovered,56,8,6-8,1.9,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,
F1/3103,Control,Recovered,56,8,6-8,2,2,1,1,1,NA,0.5,0.5,1,0.5,NA,NA,30,NA,0.133,0.0665,0.0845,6.65,NA,1,NA,17.68,NA,17.68,NA,0.133,NA,0.169,NA,0.169,NA,0.169,NA,42.9,,1
F11/21/23,Control,Recovered,56,8,6-8,2.1,2,2,1,1,0.5,0.6666667,0.3333333,2,0.3333333,NA,NA,40,5,0.159,0.0795,0.0795,7.571428571,0.003,0.5,0.5,17.64,0.13,35.28,0.13,0.318,0.003,0.159,0.012,0.318,0.012,0.318,0.012,43.6,,1
F1100,Control,Recovered,56,8,6-8,2.2,2.1,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,42.8,,1
F1251/3,Control,Recovered,56,8,6-8,2,NA,2,1,0,0,1,0,2,0,NA,NA,43,2,0.1465,#VALUE!,#VALUE!,7.325,0.0155,0,0,18.395,1.095,36.79,1.095,0.293,0.0155,0.1395,0.0285,0.279,0.0285,0.279,0.0285,NA,,
F1500,Control,Recovered,56,8,6-8,1.8,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,
F2/5131,Control,Recovered,56,8,6-8,2.3,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,
F2005,Control,Recovered,56,8,6-8,2.2,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,
F2332/3,Control,Recovered,56,8,6-8,1.8,NA,0,0,NA,NA,NA,NA,NA,NA,33.42,2.42,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,
F3130,Control,Recovered,56,8,6-8,2.4,2.36,3,1,2,0.3333333,0.75,0.25,3,0.25,NA,NA,39,2.886751,0.151,0.063983051,0.072033898,6.291666667,0.00305505,0.6666667,0.3333333,17.44667,0.7521155,52.34,0.7521155,0.453,0.00305505,0.17,0.0168226,0.51,0.0168226,0.51,0.0168226,46.63,,2
